날짜,지역,차수,연령대,지표,값
2021-02-26,전남,2차,5-11세,건수,0.0
2021-02-26,전남,2차,5-11세,접종률,0.0
2021-02-26,전남,2차,65세이상,건수,10.0
2021-02-26,전남,2차,65세이상,접종률,0.0021077525245605864
2021-02-26,전남,2차,6개월-4세,건수,0.0
2021-02-26,전남,2차,6개월-4세,접종률,0.0
2021-02-26,전남,3차,12-64세,건수,0.0
2021-02-26,전남,3차,12-64세,접종률,0.0
2021-02-26,전남,3차,5-11세,건수,0.0
2021-02-26,전남,3차,5-11세,접종률,0.0
2021-02-26,전남,3차,65세이상,건수,0.0
2021-02-26,전남,3차,65세이상,접종률,0.0
2021-02-26,전남,3차,6개월-4세,건수,0.0
2021-02-26,전남,3차,6개월-4세,접종률,0.0
2021-02-26,전북,1차,12-64세,건수,1380.0
2021-02-26,전북,1차,12-64세,접종률,0.11990543110781322
2021-02-26,전북,1차,5-11세,건수,0.0
2021-02-26,전북,1차,5-11세,접종률,0.0
2021-02-26,전북,1차,65세이상,건수,163.0
2021-02-26,전북,1차,65세이상,접종률,0.03834545253515196
2021-02-26,전북,1차,6개월-4세,건수,0.0
2021-02-26,전북,1차,6개월-4세,접종률,0.0
2021-02-26,전북,2차,12-64세,건수,219.0
2021-02-26,전북,2차,12-64세,접종률,0.01902847058884862
2021-02-26,전북,2차,5-11세,건수,0.0
2021-02-26,전북,2차,5-11세,접종률,0.0
2021-02-26,전북,2차,65세이상,건수,54.0
2021-02-26,전북,2차,65세이상,접종률,0.012703401453363227
2021-02-26,전북,2차,6개월-4세,건수,0.0
2021-02-26,전북,2차,6개월-4세,접종률,0.0
2021-02-26,전북,3차,12-64세,건수,0.0
2021-02-26,전북,3차,12-64세,접종률,0.0
2021-02-26,전북,3차,5-11세,건수,0.0
2021-02-26,전북,3차,5-11세,접종률,0.0
2021-02-26,전북,3차,65세이상,건수,0.0
2021-02-26,전북,3차,65세이상,접종률,0.0
2021-02-26,전북,3차,6개월-4세,건수,0.0
2021-02-26,전북,3차,6개월-4세,접종률,0.0
2021-02-26,제주,1차,12-64세,건수,312.0
2021-02-26,제주,1차,12-64세,접종률,0.06386414949123607
2021-02-26,제주,1차,5-11세,건수,0.0
2021-02-26,제주,1차,5-11세,접종률,0.0
2021-02-26,제주,1차,65세이상,건수,41.0
2021-02-26,제주,1차,65세이상,접종률,0.03381359636462603
2021-02-26,제주,1차,6개월-4세,건수,0.0
2021-02-26,제주,1차,6개월-4세,접종률,0.0
2021-02-26,제주,2차,12-64세,건수,26.0
2021-02-26,제주,2차,12-64세,접종률,0.005322012457603006
2021-02-26,제주,2차,5-11세,건수,0.0
2021-02-26,제주,2차,5-11세,접종률,0.0
2021-02-26,제주,2차,65세이상,건수,18.0
2021-02-26,제주,2차,65세이상,접종률,0.014844993525933377
2021-02-26,제주,2차,6개월-4세,건수,0.0
2021-02-26,제주,2차,6개월-4세,접종률,0.0
2021-02-26,제주,3차,12-64세,건수,0.0
2021-02-26,제주,3차,12-64세,접종률,0.0
2021-02-26,제주,3차,5-11세,건수,0.0
2021-02-26,제주,3차,5-11세,접종률,0.0
2021-02-26,제주,3차,65세이상,건수,0.0
2021-02-26,제주,3차,65세이상,접종률,0.0
2021-02-26,제주,3차,6개월-4세,건수,0.0
2021-02-26,제주,3차,6개월-4세,접종률,0.0
2021-02-26,충남,1차,12-64세,건수,1420.0
2021-02-26,충남,1차,12-64세,접종률,0.09546520125341776
2021-02-26,충남,1차,5-11세,건수,0.0
2021-02-26,충남,1차,5-11세,접종률,0.0
2021-02-26,충남,1차,65세이상,건수,201.0
2021-02-26,충남,1차,65세이상,접종률,0.04379857883417335
2021-02-26,충남,1차,6개월-4세,건수,0.0
2021-02-26,충남,1차,6개월-4세,접종률,0.0
2021-02-26,충남,2차,12-64세,건수,124.0
2021-02-26,충남,2차,12-64세,접종률,0.008336397855932254
2021-02-26,충남,2차,5-11세,건수,0.0
2021-02-26,충남,2차,5-11세,접종률,0.0
2021-02-26,충남,2차,65세이상,건수,25.0
2021-02-26,충남,2차,65세이상,접종률,0.005447584432111113
2021-02-26,충남,2차,6개월-4세,건수,0.0
2021-02-26,충남,2차,6개월-4세,접종률,0.0
2021-02-26,충남,3차,12-64세,건수,0.0
2021-02-26,충남,3차,12-64세,접종률,0.0
2021-02-26,충남,3차,5-11세,건수,0.0
2021-02-26,충남,3차,5-11세,접종률,0.0
2021-02-26,충남,3차,65세이상,건수,0.0
2021-02-26,충남,3차,65세이상,접종률,0.0
2021-02-26,충남,3차,6개월-4세,건수,0.0
2021-02-26,충남,3차,6개월-4세,접종률,0.0
2021-02-26,충북,1차,12-64세,건수,711.0
2021-02-26,충북,1차,12-64세,접종률,0.06280169767739713
2021-02-26,충북,1차,5-11세,건수,0.0
2021-02-26,충북,1차,5-11세,접종률,0.0
2021-02-26,충북,1차,65세이상,건수,102.0
2021-02-26,충북,1차,65세이상,접종률,0.030450397198563458
2021-02-26,충북,1차,6개월-4세,건수,0.0
2021-02-26,충북,1차,6개월-4세,접종률,0.0
2021-02-26,충북,2차,12-64세,건수,48.0
2021-02-26,충북,2차,12-64세,접종률,0.0042397770583896795
2021-02-26,충북,2차,5-11세,건수,0.0
2021-02-26,충북,2차,5-11세,접종률,0.0
2021-02-26,충북,2차,65세이상,건수,15.0
2021-02-26,충북,2차,65세이상,접종률,0.004477999588024038
2021-02-26,충북,2차,6개월-4세,건수,0.0
2021-02-26,충북,2차,6개월-4세,접종률,0.0
2021-02-26,충북,3차,12-64세,건수,0.0
2021-02-26,충북,3차,12-64세,접종률,0.0
2021-02-26,충북,3차,5-11세,건수,0.0
2021-02-26,충북,3차,5-11세,접종률,0.0
2021-02-26,충북,3차,65세이상,건수,0.0
2021-02-26,충북,3차,65세이상,접종률,0.0
2021-02-26,충북,3차,6개월-4세,건수,0.0
2021-02-26,충북,3차,6개월-4세,접종률,0.0
2021-02-27,강원,1차,12-64세,건수,8.0
2021-02-27,강원,1차,12-64세,접종률,0.07634794382461446
2021-02-27,강원,1차,5-11세,건수,0.0
2021-02-27,강원,1차,5-11세,접종률,0.0012985832456789644
2021-02-27,강원,1차,65세이상,건수,1.0
2021-02-27,강원,1차,65세이상,접종률,0.029050194391954998
2021-02-27,강원,1차,6개월-4세,건수,0.0
2021-02-27,강원,1차,6개월-4세,접종률,0.0
2021-02-27,강원,2차,12-64세,건수,1.0
2021-02-27,강원,2차,12-64세,접종률,0.006660562807616106
2021-02-27,강원,2차,5-11세,건수,0.0
2021-02-27,강원,2차,5-11세,접종률,0.0012985832456789644
2021-02-27,강원,2차,65세이상,건수,0.0
2021-02-27,강원,2차,65세이상,접종률,0.006244434308551074
2021-02-27,강원,2차,6개월-4세,건수,0.0
2021-02-27,강원,2차,6개월-4세,접종률,0.0
2021-02-27,강원,3차,12-64세,건수,0.0
2021-02-27,강원,3차,12-64세,접종률,0.0
2021-02-27,강원,3차,5-11세,건수,0.0
2021-02-27,강원,3차,5-11세,접종률,0.0
2021-02-27,강원,3차,65세이상,건수,0.0
2021-02-27,강원,3차,65세이상,접종률,0.0
2021-02-27,강원,3차,6개월-4세,건수,0.0
2021-02-27,강원,3차,6개월-4세,접종률,0.0
2021-02-27,경기,1차,12-64세,건수,353.0
2021-02-27,경기,1차,12-64세,접종률,0.05871202069290799
